user,asset_id,room,type,time

admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 10:29:11
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 10:30:02
admin,A2-01-0101-TB-05,101,Desk( 2 seats),2026-03-06 10:30:11
admin,A2-01-0101-TB-08,101,Desk( 2 seats),2026-03-06 10:46:06
admin,A2-01-0101-BP-01,101,Sliding chalkboard,2026-03-06 11:15:06
admin,A2-01-0101-TB-05,101,Desk( 2 seats),2026-03-06 11:28:13
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 11:38:31
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 11:58:52
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 11:59:01
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 11:59:54
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 12:10:11
admin,A2-01-0101-TB-22,101,Desk( 2 seats),2026-03-06 12:10:44
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 12:25:55
admin,A2-01-0101-TB-03,101,Desk( 2 seats),2026-03-06 12:26:09
admin,A2-01-0101-TB-03,101,Desk( 2 seats),2026-03-06 15:17:38
user101,A2-01-0101-TB-04,101,Desk( 2 seats),2026-03-06 15:22:29
user101,A2-01-0101-TB-04,101,Desk( 2 seats),2026-03-06 15:24:40
user101,A2-01-0101-TB-07,101,Desk( 2 seats),2026-03-06 15:24:51
user101,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 15:26:38
user101,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 15:33:53
user101,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-06 15:47:24


admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-31 19:19:02
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-31 19:20:00
admin,A2-01-0101-TB-02,101,Desk( 2 seats),2026-03-31 19:20:39
admin,A2-01-0101-TB-03,101,Desk( 2 seats),2026-03-31 19:24:55
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-31 20:15:25
admin,A2-01-0101-TB-05,101,Desk( 2 seats),2026-03-31 20:57:20
admin,A2-01-0101-TB-02,101,Desk( 2 seats),2026-03-31 21:07:05
admin,A2-01-0101-TB-01,101,Desk( 2 seats),2026-03-31 23:03:59
admin,A2-01-0101-TB-14,101,Desk( 2 seats),2026-03-31 23:08:34
